GCF_008632635.1	Acinetobacter_baumannii
GCF_016576965.1	Acinetobacter_bereziniae
GCF_002055515.1	Acinetobacter_calcoaceticus
GCF_002370525.2	Acinetobacter_guillouiae
GCF_003323815.1	Acinetobacter_haemolyticus
GCF_018336855.1	Acinetobacter_junii
GCF_013122135.1	Acinetobacter_lactucae
GCF_005281455.1	Acinetobacter_nosocomialis_M2
GCF_000191145.1	Acinetobacter_pittii_PHEA-2
GCF_000367945.1	Acinetobacter_proteolyticus
GCF_003258335.1	Acinetobacter_radioresistens
GCF_010918895.1	Acinetobacter_schindleri
GCF_016064815.1	Acinetobacter_seifertii
GCF_018409485.1	Acinetobacter_variabilis
GCF_000967305.2	Alcaligenes_faecalis
GCF_008011635.1	Campylobacter_coli
GCF_009730395.1	Campylobacter_coli
GCF_000015085.1	Campylobacter_fetus
GCF_000495505.1	Campylobacter_fetus
GCF_000759515.1	Campylobacter_fetus
GCF_011600945.2	Campylobacter_fetus
GCF_001643955.1	Campylobacter_hyointestinalis
GCF_013372165.1	Campylobacter_hyointestinalis_subsp._lawsonii
GCF_000017485.1	Campylobacter_jejuni
GCF_008011525.1	Campylobacter_jejuni
GCF_000009085.1	Campylobacter_jejuni_subsp._jejuni_NCTC_11168_=_ATCC_700819
GCF_000816225.1	Campylobacter_lari
GCF_000019205.1	Campylobacter_lari_RM2100
GCF_014931075.1	Campylobacter_peloridis
GCF_000816305.1	Campylobacter_subantarcticus_LMG_24377
GCF_008011615.1	Campylobacter_upsaliensis
GCF_916098265.1	Campylobacter_upsaliensis
GCF_001558935.2	Citrobacter_amalonaticus
GCF_009648935.1	Citrobacter_braakii
GCF_003938205.1	Citrobacter_farmeri
GCF_003812345.1	Citrobacter_freundii
GCF_003429605.1	Citrobacter_gillenii
GCF_000018045.1	Citrobacter_koseri_ATCC_BAA-895
GCF_004801125.1	Citrobacter_murliniae
GCF_019047765.1	Citrobacter_pasteurii
GCF_008693605.1	Citrobacter_portucalensis
GCF_018128425.1	Citrobacter_sedlakii
GCF_008693645.1	Citrobacter_werkmanii
GCF_900638065.1	Citrobacter_youngae
GCF_000063585.1	Clostridium_botulinum_A_str._ATCC_3502
GCF_020138775.1	Clostridium_perfringens
GCF_020450145.1	Clostridium_sporogenes
