Assembly_Accession	Assembly_Refseq_Category	Assembly_Level	Organism_Name	Assembly_Stats_Total_Ungapped_Length
GCF_000816225.1		Complete_Genome	Campylobacter_lari_subsp._concheus_LMG_11760	1502102
GCA_008011615.1		Contig	Campylobacter_upsaliensis	1647995
GCA_008011635.1		Scaffold	Campylobacter_coli	1693591
GCA_008011525.1		Contig	Campylobacter_jejuni_subsp._jejuni	1739221
GCF_001643955.1		Complete_Genome	Campylobacter_hyointestinalis_subsp._hyointestinalis_LMG_9260	1753385
GCF_000015085.1		Complete_Genome	Campylobacter_fetus_subsp._fetus_82-40	1773615
GCF_000495505.1		Complete_Genome	Campylobacter_fetus_subsp._testudinum_03-427	1775480
GCF_000017485.1		Complete_Genome	Campylobacter_jejuni_subsp._doylei_269.97	1845106
GCF_000759515.1		Complete_Genome	Campylobacter_fetus_subsp._venerealis_97/608	2000424
GCF_016724885.1		Complete_Genome	Streptococcus_dysgalactiae	2151179
GCF_013625895.1		Scaffold	Listeria_monocytogenes	2717964
GCF_017363645.1		Contig	Listeria_marthii	2737526
GCF_017363655.1		Contig	Listeria_innocua	2766718
GCF_017363615.1		Contig	Listeria_innocua	2779613
GCF_013626145.1		Scaffold	Listeria_monocytogenes	2798903
GCF_013625995.1		Contig	Listeria_monocytogenes	2823092
GCF_002489005.1		Contig	Listeria_welshimeri	2824610
GCF_014526935.1		Contig	Listeria_monocytogenes	2876424
GCF_017363605.1		Contig	Listeria_seeligeri	2926127
GCF_000252975.1		Complete_Genome	Listeria_ivanovii_subsp._ivanovii_PAM_55	2928879
GCF_001466295.1		Contig	Listeria_monocytogenes	2980363
GCF_009665395.1		Complete_Genome	Vibrio_cincinnatiensis	3799536
GCF_009665235.1		Complete_Genome	Vibrio_metschnikovii	3875681
GCA_003311965.1		Contig	Vibrio_paracholerae	3896089
GCF_009665255.1		Complete_Genome	Vibrio_metoecus	3979875
GCF_009665275.1		Complete_Genome	Vibrio_metoecus	3988124
GCA_009665515.2		Chromosome	Vibrio_cholerae	4098703
GCF_009665295.1		Complete_Genome	Grimontia_hollisae	4130266
GCF_009665215.1		Complete_Genome	Vibrio_navarrensis	4308461
GCA_007681265.1		Scaffold	Mixta_calida	4343751
GCA_013588055.1		Complete_Genome	Salmonella_enterica_subsp._houtenae	4440304
